clip_name,window_file,violation,uncertain,fps,total_frames,notes
Video Project 10_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 10_KICK.mp4,0,0,30.000000,109,
Video Project 11_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 11_KICK.mp4,0,0,30.000000,95,
Video Project 12_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 12_KICK.mp4,1,0,30.000000,103,
Video Project 13_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 13_KICK.mp4,0,0,30.000000,104,
Video Project 14_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 14_KICK.mp4,0,0,30.000000,105,
Video Project 15_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 15_KICK.mp4,0,0,30.000000,83,
Video Project 16_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 16_KICK.mp4,0,0,30.000000,107,
Video Project 17_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 17_KICK.mp4,0,0,30.000000,103,
Video Project 18_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 18_KICK.mp4,0,0,30.000000,90,
Video Project 19_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 19_KICK.mp4,0,0,30.000000,103,
Video Project 1_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 1_KICK.mp4,0,0,30.000000,65,
Video Project 20_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 20_KICK.mp4,0,0,30.000000,120,
Video Project 21_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 21_KICK.mp4,1,0,30.000000,120,
Video Project 22_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 22_KICK.mp4,0,0,30.000000,120,
Video Project 23_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 23_KICK.mp4,0,0,30.000000,113,
Video Project 24_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 24_KICK.mp4,0,0,30.000000,119,
Video Project 25_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 25_KICK.mp4,0,0,30.000000,93,
Video Project 26_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 26_KICK.mp4,0,0,30.000000,120,
Video Project 27_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 27_KICK.mp4,0,0,30.000000,120,
Video Project 28_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 28_KICK.mp4,1,0,30.000000,120,
Video Project 2_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 2_KICK.mp4,0,0,30.000000,120,
Video Project 3_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 3_KICK.mp4,0,0,30.000000,120,
Video Project 4_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 4_KICK.mp4,0,0,30.000000,120,
Video Project 6_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 6_KICK.mp4,0,0,30.000000,115,
Video Project 7_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 7_KICK.mp4,0,0,30.000000,91,
Video Project 8_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 8_KICK.mp4,1,0,30.000000,88,
Video Project 9_KICK.mp4,data/clips/kick_windows_720p_ext_final/Video Project 9_KICK.mp4,0,0,30.000000,101,
