"clip_name","kick_time_s","kick_frame"
"2015-03-11_-_22-45_Bayern_Munich_7_-_0_Shakhtar_Donetsk_H1_000209s.mp4","10.120000","253"
"2015-04-11_-_21-45_Verona_0_-_3_Inter_H2_001890s.mp4","10.800000","270"
"2015-04-18_-_21-00_Real_Madrid_3_-_1_Malaga_H2_001285s.mp4","10.280000","257"
"2015-05-16_-_16-30_Wolfsburg_2_-_1_Dortmund_H1_000627s.mp4","10.720000","268"
"2015-09-26_-_16-30_1_FSV_Mainz_05_0_-_3_Bayern_Munich_H1_001209s.mp4","10.440000","261"
"2015-11-03_-_22-45_Shakhtar_Donetsk_4_-_0_Malmo_FF_H2_000140s.mp4","10.720000","268"
"2015-11-29_-_18-00_Eibar_0_-_2_Real_Madrid_H2_002192s.mp4","10.840000","271"
"2016-03-02_-_23-00_Levante_1_-_3_Real_Madrid_H1_002016s.mp4","10.320000","258"
"2016-12-12_-_23-00_AS_Roma_1_-_0_AC_Milan_H1_001607s.mp4","10.320000","258"
"2016-12-22_-_22-45_AS_Roma_3_-_1_Chievo_H2_002822s.mp4","10.520000","263"
"2017-01-15_-_19-00_Manchester_United_1_-_1_Liverpool_H1_001596s.mp4","10.480000","262"
"2017-03-19_-_14-30_Empoli_2_-_3_Napoli_H1_000398s.mp4","10.920000","273"
"2017-03-19_-_14-30_Empoli_2_-_3_Napoli_H1_002248s.mp4","10.360000","259"
"2017-03-19_-_14-30_Empoli_2_-_3_Napoli_H2_002199s.mp4","10.720000","268"
"2017-05-06_-_19-30_Barcelona_4_-_1_Villarreal_H2_002174s.mp4","10.760000","269"
"2015-02-21_-_17-30_Paderborn_0_-_6_Bayern_Munich_H2_001074s.mp4","5.600000","140"
"2015-04-25_-_16-30_Dortmund_2_-_0_Eintracht_Frankfurt_H1_001435s.mp4","5.520000","138"
"2015-04-28_-_21-00_Barcelona_6_-_0_Getafe_H1_000524s.mp4","5.800000","145"
"2015-04-29_-_21-45_Juventus_3_-_2_Fiorentina_H1_001953s.mp4","5.640000","141"
"2015-04-29_-_21-45_Juventus_3_-_2_Fiorentina_H2_001266s.mp4","6.000000","150"
"2015-05-02_-_17-00_Cordoba_0_-_8_Barcelona_H2_002355s.mp4","5.800000","145"
"2015-05-02_-_21-00_Sevilla_2_-_3_Real_Madrid_H1_002783s.mp4","5.200000","130"
"2015-05-03_-_21-45_Napoli_3_-_0_AC_Milan_H1_000179s.mp4","5.440000","136"
"2015-05-09_-_21-00_Real_Madrid_2_-_2_Valencia_H1_002768s.mp4","5.040000","126"
"2015-05-10_-_21-45_Lazio_1_-_2_Inter_H2_001077s.mp4","5.520000","138"
"2015-05-16_-_19-00_Inter_1_-_2_Juventus_H1_002513s.mp4","5.800000","145"
"2015-05-23_-_21-30_Real_Madrid_7_-_3_Getafe_H1_002034s.mp4","5.800000","145"
"2015-08-22_-_16-30_Hoffenheim_1_-_2_Bayern_Munich_H2_001696s.mp4","5.480000","137"
"2015-08-29_-_19-30_Bayern_Munich_3_-_0_Bayer_Leverkusen_H2_000870s.mp4","5.280000","132"
"2015-08-29_-_19-30_Bayern_Munich_3_-_0_Bayer_Leverkusen_H2_001507s.mp4","5.320000","133"
"2015-08-29_-_23-30_Real_Madrid_5_-_0_Betis_H2_000931s.mp4","5.240000","131"
"2015-09-12_-_16-30_Bayern_Munich_2_-_1_FC_Augsburg_H2_002641s.mp4","5.440000","136"
"2015-09-12_-_17-00_Espanyol_0_-_6_Real_Madrid_H1_000994s.mp4","5.000000","125"
"2015-09-20_-_16-00_Genoa_0_-_2_Juventus_H2_000875s.mp4","5.280000","132"
"2015-09-20_-_18-30_Dortmund_3_-_0_Bayer_Leverkusen_H2_001691s.mp4","5.760000","144"
"2015-09-26_-_17-00_Barcelona_2_-_1_Las_Palmas_H2_001257s.mp4","5.800000","145"
"2015-09-27_-_21-45_Inter_1_-_4_Fiorentina_H1_000202s.mp4","5.640000","141"
"2015-10-04_-_18-30_Bayern_Munich_5_-_1_Dortmund_H1_002040s.mp4","5.440000","136"
"2015-10-04_-_21-30_Atl_Madrid_1_-_1_Real_Madrid_H1_001306s.mp4","5.120000","128"
"2015-10-24_-_16-30_Bayern_Munich_4_-_0_FC_Koln_H2_001905s.mp4","5.200000","130"
"2015-11-08_-_18-00_Barcelona_3_-_0_Villarreal_H2_001482s.mp4","5.160000","129"
"2015-12-20_-_18-00_Real_Madrid_1_-_0_Rayo_Vallecano_H1_001763s.mp4","5.280000","132"
"2015-12-30_-_18-00_Real_Madrid_3_-_1_Real_Sociedad_H1_001389s.mp4","5.920000","148"
"2015-12-30_-_18-00_Real_Madrid_3_-_1_Real_Sociedad_H1_002502s.mp4","5.680000","142"
"2016-01-03_-_22-30_Valencia_2_-_2_Real_Madrid_H1_002709s.mp4","5.600000","140"
"2016-01-31_-_22-30_Real_Madrid_6_-_0_Espanyol_H1_000667s.mp4","5.560000","139"
"2016-02-21_-_18-00_Malaga_1_-_1_Real_Madrid_H1_002120s.mp4","5.120000","128"
"2016-03-20_-_22-30_Real_Madrid_4_-_0_Sevilla_H1_001593s.mp4","5.960000","149"
"2016-03-20_-_22-30_Real_Madrid_4_-_0_Sevilla_H2_000744s.mp4","5.680000","142"
"2016-08-20_-_19-00_AS_Roma_4_-_0_Udinese_H2_001145s.mp4","5.800000","145"
"2016-08-20_-_19-00_AS_Roma_4_-_0_Udinese_H2_001795s.mp4","5.880000","147"
"2016-08-28_-_21-45_Cagliari_2_-_2_AS_Roma_H1_000335s.mp4","5.957802","108"
"2016-09-17_-_14-00_Leganes_1_-_5_Barcelona_H2_000566s.mp4","5.320000","133"
"2016-09-20_-_21-45_AC_Milan_2_-_0_Lazio_H2_001688s.mp4","5.565652","102"
"2016-09-21_-_21-00_Real_Madrid_1_-_1_Villarreal_H1_002717s.mp4","5.880000","147"
"2016-09-21_-_21-45_AS_Roma_4_-_0_Crotone_H2_000870s.mp4","6.168862","101"
"2016-09-25_-_13-30_Torino_3_-_1_AS_Roma_H2_000420s.mp4","5.915459","109"
"2016-09-25_-_13-30_Torino_3_-_1_AS_Roma_H2_000579s.mp4","5.801105","105"
"2016-09-25_-_21-45_Fiorentina_0_-_0_AC_Milan_H1_001366s.mp4","5.160000","129"
"2016-10-02_-_19-00_AC_Milan_4_-_3_Sassuolo_H2_001420s.mp4","5.160000","129"
"2016-10-02_-_21-45_Celta_Vigo_4_-_3_Barcelona_H2_001126s.mp4","5.960000","149"
"2016-10-22_-_17-15_Valencia_2_-_3_Barcelona_H2_002902s.mp4","5.320000","133"
"2016-10-26_-_21-45_Sassuolo_1_-_3_AS_Roma_H2_001827s.mp4","5.760000","144"
"2016-10-29_-_17-15_Alaves_1_-_4_Real_Madrid_H1_000975s.mp4","5.120000","128"
"2016-10-29_-_17-15_Alaves_1_-_4_Real_Madrid_H2_002005s.mp4","5.600000","140"
"2016-11-19_-_22-45_Atl_Madrid_0_-_3_Real_Madrid_H2_001537s.mp4","5.280000","132"
"2016-11-20_-_17-00_Atalanta_2_-_1_AS_Roma_H1_002375s.mp4","5.080000","127"
"2016-11-20_-_17-00_Atalanta_2_-_1_AS_Roma_H2_002694s.mp4","5.800000","145"
"2016-11-26_-_18-15_Real_Madrid_2_-_1_Gijon_H1_000249s.mp4","5.600000","140"
