src_file,window_file,start_s,dur_s,kick_in_window_s,kick_frame
data/clips/penalties_720p/Video Project 1.mp4,data/clips/kick_windows_720p_ext/Video Project 1_KICK.mp4,3.133,4.000,1.500,139
data/clips/penalties_720p/Video Project 10.mp4,data/clips/kick_windows_720p_ext/Video Project 10_KICK.mp4,1.733,4.000,1.500,97
data/clips/penalties_720p/Video Project 11.mp4,data/clips/kick_windows_720p_ext/Video Project 11_KICK.mp4,1.967,4.000,1.500,104
data/clips/penalties_720p/Video Project 12.mp4,data/clips/kick_windows_720p_ext/Video Project 12_KICK.mp4,1.300,4.000,1.500,84
data/clips/penalties_720p/Video Project 13.mp4,data/clips/kick_windows_720p_ext/Video Project 13_KICK.mp4,1.933,4.000,1.500,103
data/clips/penalties_720p/Video Project 14.mp4,data/clips/kick_windows_720p_ext/Video Project 14_KICK.mp4,1.400,4.000,1.500,87
data/clips/penalties_720p/Video Project 15.mp4,data/clips/kick_windows_720p_ext/Video Project 15_KICK.mp4,2.200,4.000,1.500,111
data/clips/penalties_720p/Video Project 16.mp4,data/clips/kick_windows_720p_ext/Video Project 16_KICK.mp4,2.400,4.000,1.500,117
data/clips/penalties_720p/Video Project 17.mp4,data/clips/kick_windows_720p_ext/Video Project 17_KICK.mp4,0.467,4.000,1.500,59
data/clips/penalties_720p/Video Project 18.mp4,data/clips/kick_windows_720p_ext/Video Project 18_KICK.mp4,2.433,4.000,1.500,118
data/clips/penalties_720p/Video Project 19.mp4,data/clips/kick_windows_720p_ext/Video Project 19_KICK.mp4,2.300,4.000,1.500,114
data/clips/penalties_720p/Video Project 2.mp4,data/clips/kick_windows_720p_ext/Video Project 2_KICK.mp4,0.000,4.000,1.467,44
data/clips/penalties_720p/Video Project 20.mp4,data/clips/kick_windows_720p_ext/Video Project 20_KICK.mp4,0.233,4.000,1.500,52
data/clips/penalties_720p/Video Project 21.mp4,data/clips/kick_windows_720p_ext/Video Project 21_KICK.mp4,1.000,4.000,1.500,75
data/clips/penalties_720p/Video Project 22.mp4,data/clips/kick_windows_720p_ext/Video Project 22_KICK.mp4,0.233,4.000,1.500,52
data/clips/penalties_720p/Video Project 23.mp4,data/clips/kick_windows_720p_ext/Video Project 23_KICK.mp4,0.867,4.000,1.500,71
data/clips/penalties_720p/Video Project 24.mp4,data/clips/kick_windows_720p_ext/Video Project 24_KICK.mp4,0.667,4.000,1.500,65
data/clips/penalties_720p/Video Project 25.mp4,data/clips/kick_windows_720p_ext/Video Project 25_KICK.mp4,2.267,4.000,1.500,113
data/clips/penalties_720p/Video Project 26.mp4,data/clips/kick_windows_720p_ext/Video Project 26_KICK.mp4,0.933,4.000,1.500,73
data/clips/penalties_720p/Video Project 27.mp4,data/clips/kick_windows_720p_ext/Video Project 27_KICK.mp4,0.433,4.000,1.500,58
data/clips/penalties_720p/Video Project 28.mp4,data/clips/kick_windows_720p_ext/Video Project 28_KICK.mp4,0.633,4.000,1.500,64
data/clips/penalties_720p/Video Project 3.mp4,data/clips/kick_windows_720p_ext/Video Project 3_KICK.mp4,0.000,4.000,1.400,42
data/clips/penalties_720p/Video Project 4.mp4,data/clips/kick_windows_720p_ext/Video Project 4_KICK.mp4,0.000,4.000,1.033,31
data/clips/penalties_720p/Video Project 6.mp4,data/clips/kick_windows_720p_ext/Video Project 6_KICK.mp4,0.200,4.000,1.500,51
data/clips/penalties_720p/Video Project 7.mp4,data/clips/kick_windows_720p_ext/Video Project 7_KICK.mp4,2.967,4.000,1.500,134
data/clips/penalties_720p/Video Project 8.mp4,data/clips/kick_windows_720p_ext/Video Project 8_KICK.mp4,0.267,4.000,1.500,53
data/clips/penalties_720p/Video Project 9.mp4,data/clips/kick_windows_720p_ext/Video Project 9_KICK.mp4,1.633,4.000,1.500,94
