game_id,half,t_seconds,label,gameTime,labels_file
2016-09-17 - 14-00 Leganes 1 - 5 Barcelona,2,566.0,Penalty,2 - 09:26,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2016-2017\2016-09-17 - 14-00 Leganes 1 - 5 Barcelona\Labels-v2.json
2016-09-21 - 21-00 Real Madrid 1 - 1 Villarreal,1,2717.0,Penalty,1 - 45:17,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2016-2017\2016-09-21 - 21-00 Real Madrid 1 - 1 Villarreal\Labels-v2.json
2016-10-02 - 21-45 Celta Vigo 4 - 3 Barcelona,2,1126.0,Penalty,2 - 18:46,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2016-2017\2016-10-02 - 21-45 Celta Vigo 4 - 3 Barcelona\Labels-v2.json
2016-10-22 - 17-15 Valencia 2 - 3 Barcelona,2,2902.0,Penalty,2 - 48:22,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2016-2017\2016-10-22 - 17-15 Valencia 2 - 3 Barcelona\Labels-v2.json
2016-10-29 - 17-15 Alaves 1 - 4 Real Madrid,1,975.0,Penalty,1 - 16:15,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2016-2017\2016-10-29 - 17-15 Alaves 1 - 4 Real Madrid\Labels-v2.json
2016-10-29 - 17-15 Alaves 1 - 4 Real Madrid,2,2005.0,Penalty,2 - 33:25,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2016-2017\2016-10-29 - 17-15 Alaves 1 - 4 Real Madrid\Labels-v2.json
2016-11-19 - 22-45 Atl. Madrid 0 - 3 Real Madrid,2,1537.0,Penalty,2 - 25:37,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2016-2017\2016-11-19 - 22-45 Atl. Madrid 0 - 3 Real Madrid\Labels-v2.json
2016-11-26 - 18-15 Real Madrid 2 - 1 Gijon,1,249.0,Penalty,1 - 04:09,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2016-2017\2016-11-26 - 18-15 Real Madrid 2 - 1 Gijon\Labels-v2.json
2016-11-26 - 18-15 Real Madrid 2 - 1 Gijon,2,1948.0,Penalty,2 - 32:28,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2016-2017\2016-11-26 - 18-15 Real Madrid 2 - 1 Gijon\Labels-v2.json
2017-01-15 - 22-45 Sevilla 2 - 1 Real Madrid,2,1293.0,Penalty,2 - 21:33,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2016-2017\2017-01-15 - 22-45 Sevilla 2 - 1 Real Madrid\Labels-v2.json
2017-02-19 - 22-45 Barcelona 2 - 1 Leganes,2,2644.0,Penalty,2 - 44:04,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2016-2017\2017-02-19 - 22-45 Barcelona 2 - 1 Leganes\Labels-v2.json
2017-02-26 - 22-45 Villarreal 2 - 3 Real Madrid,2,1721.0,Penalty,2 - 28:41,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2016-2017\2017-02-26 - 22-45 Villarreal 2 - 3 Real Madrid\Labels-v2.json
2017-03-01 - 23-30 Real Madrid 3 - 3 Las Palmas,2,619.0,Penalty,2 - 10:19,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2016-2017\2017-03-01 - 23-30 Real Madrid 3 - 3 Las Palmas\Labels-v2.json
2017-03-01 - 23-30 Real Madrid 3 - 3 Las Palmas,2,2456.0,Penalty,2 - 40:56,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2016-2017\2017-03-01 - 23-30 Real Madrid 3 - 3 Las Palmas\Labels-v2.json
2017-03-19 - 22-45 Barcelona 4 - 2 Valencia,1,2669.0,Penalty,1 - 44:29,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2016-2017\2017-03-19 - 22-45 Barcelona 4 - 2 Valencia\Labels-v2.json
2017-04-26 - 20-30 Barcelona 7 - 1 Osasuna,2,1300.0,Penalty,2 - 21:40,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2016-2017\2017-04-26 - 20-30 Barcelona 7 - 1 Osasuna\Labels-v2.json
2017-04-29 - 17-15 Real Madrid 2 - 1 Valencia,2,663.0,Penalty,2 - 11:03,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2016-2017\2017-04-29 - 17-15 Real Madrid 2 - 1 Valencia\Labels-v2.json
2017-05-06 - 19-30 Barcelona 4 - 1 Villarreal,2,2174.0,Penalty,2 - 36:14,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2016-2017\2017-05-06 - 19-30 Barcelona 4 - 1 Villarreal\Labels-v2.json
2017-05-21 - 21-00 Barcelona 4 - 2 Eibar,2,1476.0,Penalty,2 - 24:36,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2016-2017\2017-05-21 - 21-00 Barcelona 4 - 2 Eibar\Labels-v2.json
2017-05-21 - 21-00 Barcelona 4 - 2 Eibar,2,1786.0,Penalty,2 - 29:46,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2016-2017\2017-05-21 - 21-00 Barcelona 4 - 2 Eibar\Labels-v2.json
2015-08-29 - 23-30 Real Madrid 5 - 0 Betis,2,931.0,Penalty,2 - 15:31,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2015-2016\2015-08-29 - 23-30 Real Madrid 5 - 0 Betis\Labels-v2.json
2015-09-12 - 17-00 Espanyol 0 - 6 Real Madrid,1,994.0,Penalty,1 - 16:34,C:\Users\user\Documents\GitHub\penalty-keeper-detection\data\raw\SoccerNet\spain_laliga\2015-2016\2015-09-12 - 17-00 Espanyol 0 - 6 Real Madrid\Labels-v2.json
