"clip_name","match_id","violation","split"
"Video Project 10_KICK.mp4","video_project_10","0","test_ext"
"Video Project 11_KICK.mp4","video_project_11","0","test_ext"
"Video Project 12_KICK.mp4","video_project_12","1","test_ext"
"Video Project 13_KICK.mp4","video_project_13","0","test_ext"
"Video Project 14_KICK.mp4","video_project_14","0","test_ext"
"Video Project 15_KICK.mp4","video_project_15","0","test_ext"
"Video Project 16_KICK.mp4","video_project_16","0","test_ext"
"Video Project 17_KICK.mp4","video_project_17","0","test_ext"
"Video Project 18_KICK.mp4","video_project_18","0","test_ext"
"Video Project 19_KICK.mp4","video_project_19","0","test_ext"
"Video Project 1_KICK.mp4","video_project_1","0","test_ext"
"Video Project 20_KICK.mp4","video_project_20","0","test_ext"
"Video Project 21_KICK.mp4","video_project_21","1","test_ext"
"Video Project 22_KICK.mp4","video_project_22","0","test_ext"
"Video Project 23_KICK.mp4","video_project_23","0","test_ext"
"Video Project 24_KICK.mp4","video_project_24","0","test_ext"
"Video Project 25_KICK.mp4","video_project_25","0","test_ext"
"Video Project 26_KICK.mp4","video_project_26","0","test_ext"
"Video Project 27_KICK.mp4","video_project_27","0","test_ext"
"Video Project 28_KICK.mp4","video_project_28","1","test_ext"
"Video Project 2_KICK.mp4","video_project_2","0","test_ext"
"Video Project 3_KICK.mp4","video_project_3","0","test_ext"
"Video Project 4_KICK.mp4","video_project_4","0","test_ext"
"Video Project 6_KICK.mp4","video_project_6","0","test_ext"
"Video Project 7_KICK.mp4","video_project_7","0","test_ext"
"Video Project 8_KICK.mp4","video_project_8","1","test_ext"
"Video Project 9_KICK.mp4","video_project_9","0","test_ext"
